clip,group,severity,folder,created,codec,width,height,n_frames,meta_fps,container_sec,has_audio,bytes,path
IMG_8458,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:32:33.000000Z,hevc,1080,1920,2220,30.0,74.0,True,107467728,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8458.MOV
IMG_8459,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:32:24.000000Z,hevc,1080,1920,2234,30.0,74.47,True,107735274,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8459.MOV
IMG_8460,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:32:14.000000Z,hevc,1080,1920,2222,30.0,74.07,True,107190043,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8460.MOV
IMG_8436,3g,2,3กรัม,2026-08-22T19:28:12.000000Z,hevc,1080,1920,2219,30.0,73.97,True,107756109,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8436.MOV
IMG_8437,3g,2,3กรัม,2026-08-22T19:28:22.000000Z,hevc,1080,1920,2263,30.0,75.43,True,109987814,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8437.MOV
IMG_8438,3g,2,3กรัม,2026-08-22T19:28:31.000000Z,hevc,1080,1920,2217,30.0,73.9,True,107781505,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8438.MOV
IMG_8439,3g,2,3กรัม,2026-08-22T19:28:41.000000Z,hevc,1080,1920,2220,30.0,74.0,True,107882685,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8439.MOV
IMG_8440,3g,2,3กรัม,2026-08-22T19:28:51.000000Z,hevc,1080,1920,2202,30.0,73.4,True,106982887,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8440.MOV
IMG_8441,3g,2,3กรัม,2026-08-22T19:29:00.000000Z,hevc,1080,1920,2213,30.0,73.77,True,107683217,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8441.MOV
IMG_8442,3g,2,3กรัม,2026-08-22T19:29:10.000000Z,hevc,1080,1920,2213,30.0,73.77,True,107635445,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8442.MOV
IMG_8443,3g,2,3กรัม,2026-08-22T19:28:02.000000Z,hevc,1080,1920,2209,30.0,73.63,True,107314064,C:\Users\more_\Downloads\Arise H4\3กรัม\IMG_8443.MOV
IMG_8379,calibration,-1,calibration_ruler,2026-08-22T15:08:56.000000Z,hevc,1080,1920,2232,30.0,74.4,True,107447504,C:\Users\more_\Downloads\Arise H4\calibration_ruler\IMG_8379.MOV
