dataset,label,speed_band,n_windows,median_f0_hz,rms_px_p10,rms_px_median,rms_px_p90,rms_um_median,a1_px_median,a1_um_median,frac_rms_above_0.005_px,frac_rms_above_0.01_px,frac_rms_above_0.05_px,frac_rms_above_0.1_px
mafaulda,normal,40-50 Hz,153,44.36,0.07087,0.08357,0.12104,28.82,0.06463,22.29,1.0,1.0,1.0,0.216
mafaulda,normal,50-65 Hz,187,55.41,0.05944,0.07576,0.09781,26.12,0.04657,16.06,1.0,1.0,0.995,0.096
mafaulda,overhang_ball_fault,all,2329,28.72,0.10364,0.25163,0.84601,86.77,0.16117,55.58,1.0,1.0,0.999,0.915
mafaulda,overhang_ball_fault,10-20 Hz,527,15.83,0.16842,0.27203,0.57199,93.8,0.08716,30.05,1.0,1.0,1.0,1.0
mafaulda,overhang_ball_fault,20-30 Hz,714,25.2,0.1503,0.42017,1.40751,144.89,0.53407,184.16,1.0,1.0,1.0,0.999
mafaulda,overhang_ball_fault,30-40 Hz,476,34.03,0.0881,0.1389,0.58452,47.9,0.11174,38.53,1.0,1.0,1.0,0.83
mafaulda,overhang_ball_fault,40-50 Hz,357,45.08,0.07281,0.19721,0.33918,68.0,0.13506,46.57,1.0,1.0,1.0,0.745
mafaulda,overhang_ball_fault,50-65 Hz,255,53.9,0.10077,0.1613,0.46235,55.62,0.02146,7.4,1.0,1.0,0.992,0.902
mafaulda,overhang_cage_fault,all,3196,35.6,0.07092,0.23604,0.64769,81.39,0.17172,59.21,1.0,1.0,0.986,0.783
mafaulda,overhang_cage_fault,10-20 Hz,493,15.99,0.1519,0.24514,0.39376,84.53,0.0437,15.07,1.0,1.0,1.0,0.988
mafaulda,overhang_cage_fault,20-30 Hz,731,24.8,0.12789,0.37935,1.04378,130.81,0.48469,167.14,1.0,1.0,1.0,0.978
mafaulda,overhang_cage_fault,30-40 Hz,663,34.93,0.06947,0.15833,0.57587,54.6,0.17178,59.24,1.0,1.0,0.982,0.638
mafaulda,overhang_cage_fault,40-50 Hz,731,44.89,0.07182,0.34529,0.64282,119.07,0.44776,154.4,1.0,1.0,0.979,0.663
mafaulda,overhang_cage_fault,50-65 Hz,578,55.01,0.05831,0.11654,0.33775,40.18,0.1525,52.59,1.0,1.0,0.969,0.676
mafaulda,overhang_outer_race,all,3196,35.48,0.06109,0.20025,0.64905,69.05,0.16492,56.87,1.0,1.0,0.966,0.758
mafaulda,overhang_outer_race,10-20 Hz,527,16.39,0.12368,0.22582,0.54776,77.87,0.06294,21.7,1.0,1.0,1.0,0.972
mafaulda,overhang_outer_race,20-30 Hz,697,25.24,0.12702,0.25063,1.06223,86.42,0.33355,115.02,1.0,1.0,1.0,0.97
mafaulda,overhang_outer_race,30-40 Hz,680,34.91,0.0612,0.13966,0.62207,48.16,0.15554,53.63,1.0,1.0,0.94,0.603
mafaulda,overhang_outer_race,40-50 Hz,697,44.97,0.05914,0.33994,0.63274,117.22,0.45755,157.78,1.0,1.0,0.976,0.601
mafaulda,overhang_outer_race,50-65 Hz,595,55.16,0.0505,0.10541,0.40722,36.35,0.13615,46.95,1.0,1.0,0.913,0.684
mafaulda,underhang_ball_fault,all,3162,35.15,0.12989,0.38705,0.81916,133.47,0.18382,63.39,1.0,1.0,1.0,0.959
mafaulda,underhang_ball_fault,10-20 Hz,510,15.78,0.4226,0.61178,1.03597,210.96,0.07773,26.8,1.0,1.0,1.0,1.0
mafaulda,underhang_ball_fault,20-30 Hz,731,24.7,0.31586,0.53114,1.16194,183.15,0.52188,179.96,1.0,1.0,1.0,1.0
mafaulda,underhang_ball_fault,30-40 Hz,680,35.15,0.19291,0.33889,0.64418,116.86,0.21103,72.77,1.0,1.0,1.0,0.996
mafaulda,underhang_ball_fault,40-50 Hz,697,45.02,0.12947,0.21725,0.64094,74.92,0.14749,50.86,1.0,1.0,1.0,0.996
mafaulda,underhang_ball_fault,50-65 Hz,544,55.22,0.07694,0.13617,0.34183,46.95,0.14179,48.89,1.0,1.0,1.0,0.77
mafaulda,underhang_cage_fault,all,3196,35.82,0.13467,0.37473,0.68472,129.22,0.2024,69.79,1.0,1.0,1.0,0.968
mafaulda,underhang_cage_fault,10-20 Hz,527,16.21,0.33,0.51073,0.95154,176.11,0.05781,19.93,1.0,1.0,1.0,1.0
mafaulda,underhang_cage_fault,20-30 Hz,646,24.97,0.33217,0.45651,1.07174,157.42,0.41793,144.11,1.0,1.0,1.0,1.0
mafaulda,underhang_cage_fault,30-40 Hz,697,34.62,0.2281,0.3404,0.60133,117.38,0.21298,73.44,1.0,1.0,1.0,1.0
mafaulda,underhang_cage_fault,40-50 Hz,680,44.84,0.12693,0.32189,0.63686,111.0,0.27912,96.25,1.0,1.0,1.0,0.975
mafaulda,underhang_cage_fault,50-65 Hz,646,55.07,0.09543,0.14869,0.51723,51.27,0.14168,48.86,1.0,1.0,1.0,0.87
mafaulda,underhang_outer_race,all,3128,35.6,0.13576,0.33779,0.75105,116.48,0.1796,61.93,1.0,1.0,1.0,0.987
mafaulda,underhang_outer_race,10-20 Hz,493,16.43,0.24004,0.43188,0.85518,148.93,0.08093,27.91,1.0,1.0,1.0,1.0
mafaulda,underhang_outer_race,20-30 Hz,697,25.14,0.17655,0.49114,1.12418,169.36,0.41954,144.67,1.0,1.0,1.0,1.0
mafaulda,underhang_outer_race,30-40 Hz,731,35.57,0.1521,0.27896,0.61483,96.19,0.26191,90.31,1.0,1.0,1.0,0.997
mafaulda,underhang_outer_race,40-50 Hz,663,45.48,0.13439,0.1842,0.61383,63.52,0.14738,50.82,1.0,1.0,1.0,0.997
mafaulda,underhang_outer_race,50-65 Hz,544,55.84,0.11274,0.14982,0.32992,51.66,0.1412,48.69,1.0,1.0,1.0,0.934
mafaulda,vertical_misalignment,all,5117,36.34,0.06926,0.2085,0.46199,71.9,0.05705,19.67,1.0,1.0,0.993,0.729
mafaulda,vertical_misalignment,10-20 Hz,867,16.39,0.25982,0.40434,0.89347,139.43,0.03645,12.57,1.0,1.0,1.0,1.0
mafaulda,vertical_misalignment,20-30 Hz,1071,25.23,0.18798,0.3278,0.47699,113.04,0.10786,37.19,1.0,1.0,1.0,1.0
mafaulda,vertical_misalignment,30-40 Hz,1020,35.27,0.13753,0.24261,0.33907,83.66,0.06282,21.66,1.0,1.0,1.0,0.987
mafaulda,vertical_misalignment,40-50 Hz,1071,44.83,0.08144,0.11423,0.22672,39.39,0.06447,22.23,1.0,1.0,1.0,0.658
mafaulda,vertical_misalignment,50-65 Hz,1088,55.45,0.05633,0.0713,0.09484,24.59,0.04773,16.46,1.0,1.0,0.967,0.074
cwru_48k,ball,all,384,29.26,0.02234,0.03123,0.04654,10.77,0.00029,0.1,1.0,1.0,0.055,0.0
cwru_48k,ball,20-30 Hz,384,29.26,0.02234,0.03123,0.04654,10.77,0.00029,0.1,1.0,1.0,0.055,0.0
cwru_48k,inner_race,all,369,29.17,0.02219,0.03119,0.04694,10.76,0.00021,0.07,1.0,1.0,0.06,0.011
cwru_48k,inner_race,20-30 Hz,369,29.17,0.02219,0.03119,0.04694,10.76,0.00021,0.07,1.0,1.0,0.06,0.011
cwru_48k,normal,all,128,29.54,0.02378,0.03328,0.04182,11.48,0.00025,0.08,1.0,1.0,0.016,0.0
cwru_48k,normal,20-30 Hz,128,29.54,0.02378,0.03328,0.04182,11.48,0.00025,0.08,1.0,1.0,0.016,0.0
cwru_48k,outer_race,all,856,29.12,0.02201,0.03174,0.04391,10.94,0.00028,0.1,1.0,1.0,0.023,0.0
cwru_48k,outer_race,20-30 Hz,856,29.12,0.02201,0.03174,0.04391,10.94,0.00028,0.1,1.0,1.0,0.023,0.0
