test,condition,hours,rms
2nd_test,accel_full,50.3333,0.75265254
2nd_test,accel_full,50.5,0.74722177
2nd_test,accel_full,50.6667,0.76793214
2nd_test,accel_full,50.8333,0.75316205
2nd_test,accel_full,51.0,0.76119548
2nd_test,accel_full,51.1667,0.75600623
2nd_test,accel_full,51.3333,0.74414444
2nd_test,accel_full,51.5,0.76036602
2nd_test,accel_full,51.6667,0.76530887
2nd_test,accel_full,51.8333,0.77071987
2nd_test,accel_full,52.0,0.76218588
2nd_test,accel_full,52.1667,0.74996913
2nd_test,accel_full,52.3333,0.76049261
2nd_test,accel_full,52.5,0.75028163
2nd_test,accel_full,52.6667,0.76681924
2nd_test,accel_full,52.8333,0.7498049
2nd_test,accel_full,53.0,0.75343401
2nd_test,accel_full,53.1667,0.75000026
2nd_test,accel_full,53.3333,0.76656554
2nd_test,accel_full,53.5,0.7681421
2nd_test,accel_full,53.6667,0.74354562
2nd_test,accel_full,53.8333,0.75706977
2nd_test,accel_full,54.0,0.75927695
2nd_test,accel_full,54.1667,0.74908531
2nd_test,accel_full,54.3333,0.77057692
2nd_test,accel_full,54.5,0.74139346
2nd_test,accel_full,54.6667,0.76175114
2nd_test,accel_full,54.8333,0.76777651
2nd_test,accel_full,55.0,0.75903693
2nd_test,accel_full,55.1667,0.75260646
2nd_test,accel_full,55.3333,0.73491748
2nd_test,accel_full,55.5,0.73427877
2nd_test,accel_full,55.6667,0.7487501
2nd_test,accel_full,55.8333,0.76345339
2nd_test,accel_full,56.0,0.73821517
2nd_test,accel_full,56.1667,0.77663398
2nd_test,accel_full,56.3333,0.76508061
2nd_test,accel_full,56.5,0.76618324
2nd_test,accel_full,56.6667,0.75890745
2nd_test,accel_full,56.8333,0.75250856
2nd_test,accel_full,57.0,0.75203868
2nd_test,accel_full,57.1667,0.75658406
2nd_test,accel_full,57.3333,0.75008811
2nd_test,accel_full,57.5,0.76484699
2nd_test,accel_full,57.6667,0.75120986
2nd_test,accel_full,57.8333,0.76952747
2nd_test,accel_full,58.0,0.75816276
2nd_test,accel_full,58.1667,0.7497267
2nd_test,accel_full,58.3333,0.73853197
2nd_test,accel_full,58.5,0.74979461
2nd_test,accel_full,58.6667,0.75886564
2nd_test,accel_full,58.8333,0.75204233
2nd_test,accel_full,59.0,0.76332467
2nd_test,accel_full,59.1667,0.7457903
2nd_test,accel_full,59.3333,0.76857731
2nd_test,accel_full,59.5,0.7696085
2nd_test,accel_full,59.6667,0.74869597
2nd_test,accel_full,59.8333,0.76273254
2nd_test,accel_full,60.0,0.74498013
2nd_test,accel_full,60.1667,0.73902826
2nd_test,accel_full,60.3333,0.75265303
2nd_test,accel_full,60.5,0.76134762
2nd_test,accel_full,60.6667,0.75851112
2nd_test,accel_full,60.8333,0.74797272
2nd_test,accel_full,61.0,0.75837561
2nd_test,accel_full,61.1667,0.75982567
2nd_test,accel_full,61.3333,0.75484357
2nd_test,accel_full,61.5,0.76810036
2nd_test,accel_full,61.6667,0.74341249
2nd_test,accel_full,61.8333,0.73465209
2nd_test,accel_full,62.0,0.74482598
2nd_test,accel_full,62.1667,0.76401501
2nd_test,accel_full,62.3333,0.76288835
2nd_test,accel_full,62.5,0.74586995
2nd_test,accel_full,62.6667,0.76441811
2nd_test,accel_full,62.8333,0.75326356
2nd_test,accel_full,63.0,0.75250121
2nd_test,accel_full,63.1667,0.74403618
2nd_test,accel_full,63.3333,0.77072302
2nd_test,accel_full,63.5,0.7578187
2nd_test,accel_full,63.6667,0.75872034
2nd_test,accel_full,63.8333,0.75320014
2nd_test,accel_full,64.0,0.73629548
2nd_test,accel_full,64.1667,0.75188302
2nd_test,accel_full,64.3333,0.74698031
2nd_test,accel_full,64.5,0.74388648
2nd_test,accel_full,64.6667,0.73430328
2nd_test,accel_full,64.8333,0.7626242
2nd_test,accel_full,65.0,0.76314785
2nd_test,accel_full,65.1667,0.76351223
2nd_test,accel_full,65.3333,0.76263184
2nd_test,accel_full,65.5,0.77295775
2nd_test,accel_full,65.6667,0.77119795
2nd_test,accel_full,65.8333,0.75399679
2nd_test,accel_full,66.0,0.75313683
2nd_test,accel_full,66.1667,0.76982871
2nd_test,accel_full,66.3333,0.725207
2nd_test,accel_full,66.5,0.75444637
2nd_test,accel_full,66.6667,0.75963978
2nd_test,accel_full,66.8333,0.7383764
2nd_test,accel_full,67.0,0.74951373
2nd_test,accel_full,67.1667,0.72572113
2nd_test,accel_full,67.3333,0.7579033
2nd_test,accel_full,67.5,0.74875636
2nd_test,accel_full,67.6667,0.75039428
2nd_test,accel_full,67.8333,0.74720723
2nd_test,accel_full,68.0,0.74664253
2nd_test,accel_full,68.1667,0.74703696
2nd_test,accel_full,68.3333,0.75546003
2nd_test,accel_full,68.5,0.75837033
2nd_test,accel_full,68.6667,0.74532843
2nd_test,accel_full,68.8333,0.74843268
2nd_test,accel_full,69.0,0.75372967
2nd_test,accel_full,69.1667,0.75562879
2nd_test,accel_full,69.3333,0.7583771
2nd_test,accel_full,69.5,0.76297714
2nd_test,accel_full,69.6667,0.75242573
2nd_test,accel_full,69.8333,0.74883061
2nd_test,accel_full,70.0,0.74770919
2nd_test,accel_full,70.1667,0.76579367
2nd_test,accel_full,70.3333,0.75434878
2nd_test,accel_full,70.5,0.75080446
2nd_test,accel_full,70.6667,0.74682652
2nd_test,accel_full,70.8333,0.76192414
2nd_test,accel_full,71.0,0.75709576
2nd_test,accel_full,71.1667,0.74445575
2nd_test,accel_full,71.3333,0.74626464
2nd_test,accel_full,71.5,0.75207777
2nd_test,accel_full,71.6667,0.7614406
2nd_test,accel_full,71.8333,0.75988937
2nd_test,accel_full,72.0,0.75456731
2nd_test,accel_full,72.1667,0.74934362
2nd_test,accel_full,72.3333,0.76374653
2nd_test,accel_full,72.5,0.76316163
2nd_test,accel_full,72.6667,0.75465903
2nd_test,accel_full,72.8333,0.75147111
2nd_test,accel_full,73.0,0.76422697
2nd_test,accel_full,73.1667,0.7650599
2nd_test,accel_full,73.3333,0.75680172
2nd_test,accel_full,73.5,0.75615157
2nd_test,accel_full,73.6667,0.7552481
2nd_test,accel_full,73.8333,0.75134187
2nd_test,accel_full,74.0,0.75874835
2nd_test,accel_full,74.1667,0.76711351
2nd_test,accel_full,74.3333,0.76548128
2nd_test,accel_full,74.5,0.77126536
2nd_test,accel_full,74.6667,0.74430905
2nd_test,accel_full,74.8333,0.74221595
2nd_test,accel_full,75.0,0.75319143
2nd_test,accel_full,75.1667,0.77347873
2nd_test,accel_full,75.3333,0.75258812
2nd_test,accel_full,75.5,0.77082964
2nd_test,accel_full,75.6667,0.77622286
2nd_test,accel_full,75.8333,0.77067037
2nd_test,accel_full,76.0,0.76135688
2nd_test,accel_full,76.1667,0.75656897
2nd_test,accel_full,76.3333,0.77673244
2nd_test,accel_full,76.5,0.7700006
2nd_test,accel_full,76.6667,0.76354977
2nd_test,accel_full,76.8333,0.77741551
2nd_test,accel_full,77.0,0.76482907
2nd_test,accel_full,77.1667,0.7588749
2nd_test,accel_full,77.3333,0.75617973
2nd_test,accel_full,77.5,0.74178937
2nd_test,accel_full,77.6667,0.75801158
2nd_test,accel_full,77.8333,0.74875375
2nd_test,accel_full,78.0,0.76363425
2nd_test,accel_full,78.1667,0.74147356
2nd_test,accel_full,78.3333,0.75536758
2nd_test,accel_full,78.5,0.75618844
2nd_test,accel_full,78.6667,0.76916031
2nd_test,accel_full,78.8333,0.74300407
2nd_test,accel_full,79.0,0.76958987
2nd_test,accel_full,79.1667,0.76333648
2nd_test,accel_full,79.3333,0.75047351
2nd_test,accel_full,79.5,0.75658257
2nd_test,accel_full,79.6667,0.75093361
2nd_test,accel_full,79.8333,0.76188389
2nd_test,accel_full,80.0,0.74322249
2nd_test,accel_full,80.1667,0.75086406
2nd_test,accel_full,80.3333,0.75295827
2nd_test,accel_full,80.5,0.7396296
2nd_test,accel_full,80.6667,0.75187609
2nd_test,accel_full,80.8333,0.75100605
2nd_test,accel_full,81.0,0.74575048
2nd_test,accel_full,81.1667,0.74163615
2nd_test,accel_full,81.3333,0.76985741
2nd_test,accel_full,81.5,0.73238564
2nd_test,accel_full,81.6667,0.74081493
2nd_test,accel_full,81.8333,0.76032694
2nd_test,accel_full,82.0,0.76233951
2nd_test,accel_full,82.1667,0.76509966
2nd_test,accel_full,82.3333,0.74452536
2nd_test,accel_full,82.5,0.75822935
2nd_test,accel_full,82.6667,0.75233209
2nd_test,accel_full,82.8333,0.7666312
2nd_test,accel_full,83.0,0.7550279
2nd_test,accel_full,83.1667,0.75195692
2nd_test,accel_full,83.3333,0.74422485
2nd_test,accel_full,83.5,0.76029236
2nd_test,accel_full,83.6667,0.76483796
2nd_test,accel_full,83.8333,0.76052601
2nd_test,accel_full,84.0,0.77535743
2nd_test,accel_full,84.1667,0.75928099
2nd_test,accel_full,84.3333,0.77082728
2nd_test,accel_full,84.5,0.77403779
2nd_test,accel_full,84.6667,0.77650813
2nd_test,accel_full,84.8333,0.76601867
2nd_test,accel_full,85.0,0.7624063
2nd_test,accel_full,85.1667,0.75861361
2nd_test,accel_full,85.3333,0.79734246
2nd_test,accel_full,85.5,0.75277677
2nd_test,accel_full,85.6667,0.76511968
2nd_test,accel_full,85.8333,0.75726097
2nd_test,accel_full,86.0,0.77082727
2nd_test,accel_full,86.1667,0.75867218
2nd_test,accel_full,86.3333,0.74073166
2nd_test,accel_full,86.5,0.76406165
2nd_test,accel_full,86.6667,0.77338086
2nd_test,accel_full,86.8333,0.7465677
2nd_test,accel_full,87.0,0.76737077
2nd_test,accel_full,87.1667,0.77736707
2nd_test,accel_full,87.3333,0.77979588
2nd_test,accel_full,87.5,0.78420535
2nd_test,accel_full,87.6667,0.76375882
2nd_test,accel_full,87.8333,0.77026758
2nd_test,accel_full,88.0,0.76651539
2nd_test,accel_full,88.1667,0.76345293
2nd_test,accel_full,88.3333,0.77821073
2nd_test,accel_full,88.5,0.75462985
2nd_test,accel_full,88.6667,0.80472124
2nd_test,accel_full,88.8333,0.82672957
2nd_test,accel_full,89.0,0.82628356
2nd_test,accel_full,89.1667,0.8129034
2nd_test,accel_full,89.3333,0.80682707
2nd_test,accel_full,89.5,0.82857632
2nd_test,accel_full,89.6667,0.84124446
2nd_test,accel_full,89.8333,0.82646733
2nd_test,accel_full,90.0,0.80804525
2nd_test,accel_full,90.1667,0.8204249
2nd_test,accel_full,90.3333,0.81975465
2nd_test,accel_full,90.5,0.8372099
2nd_test,accel_full,90.6667,0.82469577
2nd_test,accel_full,90.8333,0.85175707
2nd_test,accel_full,91.0,0.83199104
2nd_test,accel_full,91.1667,0.83551942
2nd_test,accel_full,91.3333,0.85312095
2nd_test,accel_full,91.5,0.85311356
2nd_test,accel_full,91.6667,0.86275057
2nd_test,accel_full,91.8333,0.84028544
2nd_test,accel_full,92.0,0.8363245
2nd_test,accel_full,92.1667,0.8515108
2nd_test,accel_full,92.3333,0.85759148
2nd_test,accel_full,92.5,0.86688188
2nd_test,accel_full,92.6667,0.84250248
2nd_test,accel_full,92.8333,0.87481706
2nd_test,accel_full,93.0,0.83964316
2nd_test,accel_full,93.1667,0.86634667
2nd_test,accel_full,93.3333,0.87115219
2nd_test,accel_full,93.5,0.85478833
2nd_test,accel_full,93.6667,0.85792799
2nd_test,accel_full,93.8333,0.87002166
2nd_test,accel_full,94.0,0.84429146
2nd_test,accel_full,94.1667,0.86602736
2nd_test,accel_full,94.3333,0.85985918
2nd_test,accel_full,94.5,0.85048061
2nd_test,accel_full,94.6667,0.85154237
2nd_test,accel_full,94.8333,0.86775211
2nd_test,accel_full,95.0,0.86376079
2nd_test,accel_full,95.1667,0.88134826
2nd_test,accel_full,95.3333,0.86669701
2nd_test,accel_full,95.5,0.85878338
2nd_test,accel_full,95.6667,0.87473463
2nd_test,accel_full,95.8333,0.87524712
2nd_test,accel_full,96.0,0.8645187
2nd_test,accel_full,96.1667,0.8666243
2nd_test,accel_full,96.3333,0.88386155
2nd_test,accel_full,96.5,0.88944236
2nd_test,accel_full,96.6667,0.88170379
2nd_test,accel_full,96.8333,0.89363916
2nd_test,accel_full,97.0,0.88228867
2nd_test,accel_full,97.1667,0.90465553
2nd_test,accel_full,97.3333,0.8741577
2nd_test,accel_full,97.5,0.87797034
2nd_test,accel_full,97.6667,0.89351122
2nd_test,accel_full,97.8333,0.902457
2nd_test,accel_full,98.0,0.88100878
2nd_test,accel_full,98.1667,0.89504668
2nd_test,accel_full,98.3333,0.89119736
2nd_test,accel_full,98.5,0.87914719
2nd_test,accel_full,98.6667,0.88245625
2nd_test,accel_full,98.8333,0.8955474
2nd_test,accel_full,99.0,0.90003048
2nd_test,accel_full,99.1667,0.88566933
2nd_test,accel_full,99.3333,0.89705509
2nd_test,accel_full,99.5,0.89827223
2nd_test,accel_full,99.6667,0.88582804
2nd_test,accel_full,99.8333,0.89306477
2nd_test,accel_full,100.0,0.89443579
2nd_test,accel_full,100.1667,0.91186424
2nd_test,accel_full,100.3333,0.90166767
2nd_test,accel_full,100.5,0.90348556
2nd_test,accel_full,100.6667,0.90138513
2nd_test,accel_full,100.8333,0.91360207
2nd_test,accel_full,101.0,0.91558738
2nd_test,accel_full,101.1667,0.9167918
2nd_test,accel_full,101.3333,0.92590611
2nd_test,accel_full,101.5,0.93132951
2nd_test,accel_full,101.6667,0.93991461
2nd_test,accel_full,101.8333,0.92619233
2nd_test,accel_full,102.0,0.93019228
2nd_test,accel_full,102.1667,0.9382947
2nd_test,accel_full,102.3333,0.94056712
2nd_test,accel_full,102.5,0.94299569
2nd_test,accel_full,102.6667,0.93060147
2nd_test,accel_full,102.8333,0.93754951
2nd_test,accel_full,103.0,0.93089429
2nd_test,accel_full,103.1667,0.92360391
2nd_test,accel_full,103.3333,0.91633556
2nd_test,accel_full,103.5,0.96453604
2nd_test,accel_full,103.6667,0.93204171
2nd_test,accel_full,103.8333,0.93523716
2nd_test,accel_full,104.0,0.95098196
2nd_test,accel_full,104.1667,0.94377203
2nd_test,accel_full,104.3333,0.94138146
2nd_test,accel_full,104.5,0.94404098
2nd_test,accel_full,104.6667,0.93763515
2nd_test,accel_full,104.8333,0.94141573
2nd_test,accel_full,105.0,0.91733024
2nd_test,accel_full,105.1667,0.95791194
2nd_test,accel_full,105.3333,0.95265574
2nd_test,accel_full,105.5,0.92240001
2nd_test,accel_full,105.6667,0.94471354
2nd_test,accel_full,105.8333,0.93782636
2nd_test,accel_full,106.0,0.95682891
2nd_test,accel_full,106.1667,0.95861102
2nd_test,accel_full,106.3333,0.92837263
2nd_test,accel_full,106.5,0.95568557
2nd_test,accel_full,106.6667,0.96566531
2nd_test,accel_full,106.8333,0.97367319
2nd_test,accel_full,107.0,0.96303193
2nd_test,accel_full,107.1667,0.96120677
2nd_test,accel_full,107.3333,0.96063584
