test,condition,featureset,hours,score,threshold
2nd_test,accel_full,dimensionless,14.0,2.660153,5.15909
2nd_test,accel_full,dimensionless,14.1667,3.748655,5.15909
2nd_test,accel_full,dimensionless,14.3333,3.66109,5.15909
2nd_test,accel_full,dimensionless,14.5,3.137433,5.15909
2nd_test,accel_full,dimensionless,14.6667,4.725069,5.15909
2nd_test,accel_full,dimensionless,14.8333,2.926063,5.15909
2nd_test,accel_full,dimensionless,15.0,2.958989,5.15909
2nd_test,accel_full,dimensionless,15.1667,1.85699,5.15909
2nd_test,accel_full,dimensionless,15.3333,2.667083,5.15909
2nd_test,accel_full,dimensionless,15.5,2.748863,5.15909
2nd_test,accel_full,dimensionless,15.6667,2.450452,5.15909
2nd_test,accel_full,dimensionless,15.8333,2.161175,5.15909
2nd_test,accel_full,dimensionless,16.0,2.65437,5.15909
2nd_test,accel_full,dimensionless,16.1667,2.527022,5.15909
2nd_test,accel_full,dimensionless,16.3333,1.968545,5.15909
2nd_test,accel_full,dimensionless,16.5,3.455756,5.15909
2nd_test,accel_full,dimensionless,16.6667,2.449696,5.15909
2nd_test,accel_full,dimensionless,16.8333,3.388702,5.15909
2nd_test,accel_full,dimensionless,17.0,2.456826,5.15909
2nd_test,accel_full,dimensionless,17.1667,2.326005,5.15909
2nd_test,accel_full,dimensionless,17.3333,3.055854,5.15909
2nd_test,accel_full,dimensionless,17.5,2.687728,5.15909
2nd_test,accel_full,dimensionless,17.6667,2.765745,5.15909
2nd_test,accel_full,dimensionless,17.8333,2.523865,5.15909
2nd_test,accel_full,dimensionless,18.0,2.686601,5.15909
2nd_test,accel_full,dimensionless,18.1667,3.264562,5.15909
2nd_test,accel_full,dimensionless,18.3333,3.143444,5.15909
2nd_test,accel_full,dimensionless,18.5,1.926031,5.15909
2nd_test,accel_full,dimensionless,18.6667,3.993963,5.15909
2nd_test,accel_full,dimensionless,18.8333,3.733155,5.15909
2nd_test,accel_full,dimensionless,19.0,3.428911,5.15909
2nd_test,accel_full,dimensionless,19.1667,2.149182,5.15909
2nd_test,accel_full,dimensionless,19.3333,2.949623,5.15909
2nd_test,accel_full,dimensionless,19.5,2.370941,5.15909
2nd_test,accel_full,dimensionless,19.6667,3.209103,5.15909
2nd_test,accel_full,dimensionless,19.8333,3.10679,5.15909
2nd_test,accel_full,dimensionless,20.0,2.169136,5.15909
2nd_test,accel_full,dimensionless,20.1667,2.784491,5.15909
2nd_test,accel_full,dimensionless,20.3333,2.584493,5.15909
2nd_test,accel_full,dimensionless,20.5,3.157097,5.15909
2nd_test,accel_full,dimensionless,20.6667,3.035805,5.15909
2nd_test,accel_full,dimensionless,20.8333,2.991259,5.15909
2nd_test,accel_full,dimensionless,21.0,2.849064,5.15909
2nd_test,accel_full,dimensionless,21.1667,2.149215,5.15909
2nd_test,accel_full,dimensionless,21.3333,2.016153,5.15909
2nd_test,accel_full,dimensionless,21.5,3.559923,5.15909
2nd_test,accel_full,dimensionless,21.6667,3.493582,5.15909
2nd_test,accel_full,dimensionless,21.8333,3.084919,5.15909
2nd_test,accel_full,dimensionless,22.0,3.023894,5.15909
2nd_test,accel_full,dimensionless,22.1667,2.763532,5.15909
2nd_test,accel_full,dimensionless,22.3333,2.020901,5.15909
2nd_test,accel_full,dimensionless,22.5,2.605059,5.15909
2nd_test,accel_full,dimensionless,22.6667,3.128538,5.15909
2nd_test,accel_full,dimensionless,22.8333,2.049575,5.15909
2nd_test,accel_full,dimensionless,23.0,2.228463,5.15909
2nd_test,accel_full,dimensionless,23.1667,2.477634,5.15909
2nd_test,accel_full,dimensionless,23.3333,3.218176,5.15909
2nd_test,accel_full,dimensionless,23.5,2.961982,5.15909
2nd_test,accel_full,dimensionless,23.6667,2.467742,5.15909
2nd_test,accel_full,dimensionless,23.8333,3.444706,5.15909
2nd_test,accel_full,dimensionless,24.0,3.181141,5.15909
2nd_test,accel_full,dimensionless,24.1667,1.937697,5.15909
2nd_test,accel_full,dimensionless,24.3333,4.20388,5.15909
2nd_test,accel_full,dimensionless,24.5,2.904007,5.15909
2nd_test,accel_full,dimensionless,24.6667,2.935864,5.15909
2nd_test,accel_full,dimensionless,24.8333,3.537474,5.15909
2nd_test,accel_full,dimensionless,25.0,2.900176,5.15909
2nd_test,accel_full,dimensionless,25.1667,2.513022,5.15909
2nd_test,accel_full,dimensionless,25.3333,3.325257,5.15909
2nd_test,accel_full,dimensionless,25.5,1.888861,5.15909
2nd_test,accel_full,dimensionless,25.6667,3.943395,5.15909
2nd_test,accel_full,dimensionless,25.8333,2.31348,5.15909
2nd_test,accel_full,dimensionless,26.0,2.037762,5.15909
2nd_test,accel_full,dimensionless,26.1667,2.829273,5.15909
2nd_test,accel_full,dimensionless,26.3333,2.960342,5.15909
2nd_test,accel_full,dimensionless,26.5,1.999857,5.15909
2nd_test,accel_full,dimensionless,26.6667,2.93141,5.15909
2nd_test,accel_full,dimensionless,26.8333,3.797514,5.15909
2nd_test,accel_full,dimensionless,27.0,2.760645,5.15909
2nd_test,accel_full,dimensionless,27.1667,3.424173,5.15909
2nd_test,accel_full,dimensionless,27.3333,3.46702,5.15909
2nd_test,accel_full,dimensionless,27.5,2.377703,5.15909
2nd_test,accel_full,dimensionless,27.6667,2.761795,5.15909
2nd_test,accel_full,dimensionless,27.8333,5.003363,5.15909
2nd_test,accel_full,dimensionless,28.0,2.87894,5.15909
2nd_test,accel_full,dimensionless,28.1667,2.354101,5.15909
2nd_test,accel_full,dimensionless,28.3333,3.534113,5.15909
2nd_test,accel_full,dimensionless,28.5,3.343721,5.15909
2nd_test,accel_full,dimensionless,28.6667,2.671571,5.15909
2nd_test,accel_full,dimensionless,28.8333,3.236838,5.15909
2nd_test,accel_full,dimensionless,29.0,3.19358,5.15909
2nd_test,accel_full,dimensionless,29.1667,1.973425,5.15909
2nd_test,accel_full,dimensionless,29.3333,3.351958,5.15909
2nd_test,accel_full,dimensionless,29.5,2.484651,5.15909
2nd_test,accel_full,dimensionless,29.6667,2.427889,5.15909
2nd_test,accel_full,dimensionless,29.8333,2.102058,5.15909
2nd_test,accel_full,dimensionless,30.0,4.592597,5.15909
2nd_test,accel_full,dimensionless,30.1667,4.224891,5.15909
2nd_test,accel_full,dimensionless,30.3333,2.833222,5.15909
2nd_test,accel_full,dimensionless,30.5,2.374624,5.15909
2nd_test,accel_full,dimensionless,30.6667,3.279432,5.15909
2nd_test,accel_full,dimensionless,30.8333,2.401521,5.15909
2nd_test,accel_full,dimensionless,31.0,2.353879,5.15909
2nd_test,accel_full,dimensionless,31.1667,3.381187,5.15909
2nd_test,accel_full,dimensionless,31.3333,2.342457,5.15909
2nd_test,accel_full,dimensionless,31.5,2.551974,5.15909
2nd_test,accel_full,dimensionless,31.6667,2.985417,5.15909
2nd_test,accel_full,dimensionless,31.8333,2.473717,5.15909
2nd_test,accel_full,dimensionless,32.0,3.341583,5.15909
2nd_test,accel_full,dimensionless,32.1667,2.631344,5.15909
2nd_test,accel_full,dimensionless,32.3333,2.292437,5.15909
2nd_test,accel_full,dimensionless,32.5,2.487038,5.15909
2nd_test,accel_full,dimensionless,32.6667,3.213337,5.15909
2nd_test,accel_full,dimensionless,32.8333,2.180517,5.15909
2nd_test,accel_full,dimensionless,33.0,3.437989,5.15909
2nd_test,accel_full,dimensionless,33.1667,2.562824,5.15909
2nd_test,accel_full,dimensionless,33.3333,2.203663,5.15909
2nd_test,accel_full,dimensionless,33.5,2.641468,5.15909
2nd_test,accel_full,dimensionless,33.6667,3.337595,5.15909
2nd_test,accel_full,dimensionless,33.8333,2.180041,5.15909
2nd_test,accel_full,dimensionless,34.0,2.734764,5.15909
2nd_test,accel_full,dimensionless,34.1667,2.274247,5.15909
2nd_test,accel_full,dimensionless,34.3333,2.911819,5.15909
2nd_test,accel_full,dimensionless,34.5,2.026972,5.15909
2nd_test,accel_full,dimensionless,34.6667,2.184857,5.15909
2nd_test,accel_full,dimensionless,34.8333,4.146663,5.15909
2nd_test,accel_full,dimensionless,35.0,1.531401,5.15909
2nd_test,accel_full,dimensionless,35.1667,3.083455,5.15909
2nd_test,accel_full,dimensionless,35.3333,1.662304,5.15909
2nd_test,accel_full,dimensionless,35.5,3.366448,5.15909
2nd_test,accel_full,dimensionless,35.6667,3.037132,5.15909
2nd_test,accel_full,dimensionless,35.8333,2.738465,5.15909
2nd_test,accel_full,dimensionless,36.0,3.430269,5.15909
2nd_test,accel_full,dimensionless,36.1667,3.321319,5.15909
2nd_test,accel_full,dimensionless,36.3333,4.181241,5.15909
2nd_test,accel_full,dimensionless,36.5,4.326604,5.15909
2nd_test,accel_full,dimensionless,36.6667,2.518312,5.15909
2nd_test,accel_full,dimensionless,36.8333,2.464162,5.15909
2nd_test,accel_full,dimensionless,37.0,3.748919,5.15909
2nd_test,accel_full,dimensionless,37.1667,2.237434,5.15909
2nd_test,accel_full,dimensionless,37.3333,3.460773,5.15909
2nd_test,accel_full,dimensionless,37.5,2.761461,5.15909
2nd_test,accel_full,dimensionless,37.6667,2.554052,5.15909
2nd_test,accel_full,dimensionless,37.8333,3.021839,5.15909
2nd_test,accel_full,dimensionless,38.0,2.932209,5.15909
2nd_test,accel_full,dimensionless,38.1667,2.557715,5.15909
2nd_test,accel_full,dimensionless,38.3333,3.222187,5.15909
2nd_test,accel_full,dimensionless,38.5,3.012489,5.15909
2nd_test,accel_full,dimensionless,38.6667,2.711195,5.15909
2nd_test,accel_full,dimensionless,38.8333,2.30744,5.15909
2nd_test,accel_full,dimensionless,39.0,2.655127,5.15909
2nd_test,accel_full,dimensionless,39.1667,3.129499,5.15909
2nd_test,accel_full,dimensionless,39.3333,3.178906,5.15909
2nd_test,accel_full,dimensionless,39.5,3.597554,5.15909
2nd_test,accel_full,dimensionless,39.6667,2.990119,5.15909
2nd_test,accel_full,dimensionless,39.8333,2.850648,5.15909
2nd_test,accel_full,dimensionless,40.0,2.999974,5.15909
2nd_test,accel_full,dimensionless,40.1667,2.032644,5.15909
2nd_test,accel_full,dimensionless,40.3333,2.864824,5.15909
2nd_test,accel_full,dimensionless,40.5,2.940517,5.15909
2nd_test,accel_full,dimensionless,40.6667,2.773059,5.15909
2nd_test,accel_full,dimensionless,40.8333,2.386753,5.15909
2nd_test,accel_full,dimensionless,41.0,2.440696,5.15909
2nd_test,accel_full,dimensionless,41.1667,3.348446,5.15909
2nd_test,accel_full,dimensionless,41.3333,3.504992,5.15909
2nd_test,accel_full,dimensionless,41.5,2.910369,5.15909
2nd_test,accel_full,dimensionless,41.6667,2.398463,5.15909
2nd_test,accel_full,dimensionless,41.8333,3.148089,5.15909
2nd_test,accel_full,dimensionless,42.0,2.266025,5.15909
2nd_test,accel_full,dimensionless,42.1667,2.00492,5.15909
2nd_test,accel_full,dimensionless,42.3333,2.059204,5.15909
2nd_test,accel_full,dimensionless,42.5,3.295853,5.15909
2nd_test,accel_full,dimensionless,42.6667,2.24982,5.15909
2nd_test,accel_full,dimensionless,42.8333,1.729651,5.15909
2nd_test,accel_full,dimensionless,43.0,2.084298,5.15909
2nd_test,accel_full,dimensionless,43.1667,2.934702,5.15909
2nd_test,accel_full,dimensionless,43.3333,2.378624,5.15909
2nd_test,accel_full,dimensionless,43.5,3.326134,5.15909
2nd_test,accel_full,dimensionless,43.6667,2.096538,5.15909
2nd_test,accel_full,dimensionless,43.8333,3.03305,5.15909
2nd_test,accel_full,dimensionless,44.0,2.790292,5.15909
2nd_test,accel_full,dimensionless,44.1667,3.402183,5.15909
2nd_test,accel_full,dimensionless,44.3333,3.413683,5.15909
2nd_test,accel_full,dimensionless,44.5,3.01964,5.15909
2nd_test,accel_full,dimensionless,44.6667,2.849882,5.15909
2nd_test,accel_full,dimensionless,44.8333,3.613969,5.15909
2nd_test,accel_full,dimensionless,45.0,2.753183,5.15909
2nd_test,accel_full,dimensionless,45.1667,2.162773,5.15909
2nd_test,accel_full,dimensionless,45.3333,4.158738,5.15909
2nd_test,accel_full,dimensionless,45.5,3.065581,5.15909
2nd_test,accel_full,dimensionless,45.6667,2.420604,5.15909
2nd_test,accel_full,dimensionless,45.8333,2.31613,5.15909
2nd_test,accel_full,dimensionless,46.0,3.04553,5.15909
2nd_test,accel_full,dimensionless,46.1667,1.784988,5.15909
2nd_test,accel_full,dimensionless,46.3333,2.772378,5.15909
2nd_test,accel_full,dimensionless,46.5,3.733068,5.15909
2nd_test,accel_full,dimensionless,46.6667,3.180389,5.15909
2nd_test,accel_full,dimensionless,46.8333,2.741751,5.15909
2nd_test,accel_full,dimensionless,47.0,2.412703,5.15909
2nd_test,accel_full,dimensionless,47.1667,1.891117,5.15909
2nd_test,accel_full,dimensionless,47.3333,3.300222,5.15909
2nd_test,accel_full,dimensionless,47.5,2.673369,5.15909
2nd_test,accel_full,dimensionless,47.6667,3.441227,5.15909
2nd_test,accel_full,dimensionless,47.8333,1.980446,5.15909
2nd_test,accel_full,dimensionless,48.0,3.250074,5.15909
2nd_test,accel_full,dimensionless,48.1667,1.658689,5.15909
2nd_test,accel_full,dimensionless,48.3333,2.669185,5.15909
2nd_test,accel_full,dimensionless,48.5,4.664452,5.15909
2nd_test,accel_full,dimensionless,48.6667,1.656565,5.15909
2nd_test,accel_full,dimensionless,48.8333,2.106261,5.15909
2nd_test,accel_full,dimensionless,49.0,2.666293,5.15909
2nd_test,accel_full,dimensionless,49.1667,2.976463,5.15909
2nd_test,accel_full,dimensionless,49.3333,2.975544,5.15909
2nd_test,accel_full,dimensionless,49.5,2.05768,5.15909
2nd_test,accel_full,dimensionless,49.6667,2.458372,5.15909
2nd_test,accel_full,dimensionless,49.8333,2.773128,5.15909
2nd_test,accel_full,dimensionless,50.0,2.45691,5.15909
2nd_test,accel_full,dimensionless,50.1667,3.211009,5.15909
2nd_test,accel_full,dimensionless,50.3333,3.926354,5.15909
2nd_test,accel_full,dimensionless,50.5,2.365911,5.15909
2nd_test,accel_full,dimensionless,50.6667,4.553296,5.15909
2nd_test,accel_full,dimensionless,50.8333,2.038465,5.15909
2nd_test,accel_full,dimensionless,51.0,2.025169,5.15909
2nd_test,accel_full,dimensionless,51.1667,3.244547,5.15909
2nd_test,accel_full,dimensionless,51.3333,2.318973,5.15909
2nd_test,accel_full,dimensionless,51.5,2.360702,5.15909
2nd_test,accel_full,dimensionless,51.6667,3.773258,5.15909
2nd_test,accel_full,dimensionless,51.8333,2.961165,5.15909
2nd_test,accel_full,dimensionless,52.0,3.070829,5.15909
2nd_test,accel_full,dimensionless,52.1667,3.024105,5.15909
2nd_test,accel_full,dimensionless,52.3333,2.583835,5.15909
2nd_test,accel_full,dimensionless,52.5,3.811467,5.15909
2nd_test,accel_full,dimensionless,52.6667,4.335208,5.15909
2nd_test,accel_full,dimensionless,52.8333,3.712435,5.15909
2nd_test,accel_full,dimensionless,53.0,1.999347,5.15909
2nd_test,accel_full,dimensionless,53.1667,2.675498,5.15909
2nd_test,accel_full,dimensionless,53.3333,3.828008,5.15909
2nd_test,accel_full,dimensionless,53.5,2.499893,5.15909
2nd_test,accel_full,dimensionless,53.6667,2.456852,5.15909
2nd_test,accel_full,dimensionless,53.8333,3.259806,5.15909
2nd_test,accel_full,dimensionless,54.0,5.086391,5.15909
2nd_test,accel_full,dimensionless,54.1667,3.229963,5.15909
2nd_test,accel_full,dimensionless,54.3333,3.505139,5.15909
2nd_test,accel_full,dimensionless,54.5,3.015633,5.15909
2nd_test,accel_full,dimensionless,54.6667,2.684638,5.15909
2nd_test,accel_full,dimensionless,54.8333,2.236683,5.15909
2nd_test,accel_full,dimensionless,55.0,3.34399,5.15909
2nd_test,accel_full,dimensionless,55.1667,3.82394,5.15909
2nd_test,accel_full,dimensionless,55.3333,1.746881,5.15909
2nd_test,accel_full,dimensionless,55.5,2.630633,5.15909
2nd_test,accel_full,dimensionless,55.6667,2.769692,5.15909
2nd_test,accel_full,dimensionless,55.8333,2.506227,5.15909
2nd_test,accel_full,dimensionless,56.0,2.733699,5.15909
2nd_test,accel_full,dimensionless,56.1667,3.80265,5.15909
2nd_test,accel_full,dimensionless,56.3333,4.599972,5.15909
2nd_test,accel_full,dimensionless,56.5,2.442661,5.15909
2nd_test,accel_full,dimensionless,56.6667,2.446969,5.15909
2nd_test,accel_full,dimensionless,56.8333,3.378529,5.15909
2nd_test,accel_full,dimensionless,57.0,3.071066,5.15909
2nd_test,accel_full,dimensionless,57.1667,3.12028,5.15909
2nd_test,accel_full,dimensionless,57.3333,4.52821,5.15909
2nd_test,accel_full,dimensionless,57.5,3.886032,5.15909
2nd_test,accel_full,dimensionless,57.6667,2.503752,5.15909
2nd_test,accel_full,dimensionless,57.8333,3.875541,5.15909
2nd_test,accel_full,dimensionless,58.0,2.830553,5.15909
2nd_test,accel_full,dimensionless,58.1667,2.520232,5.15909
2nd_test,accel_full,dimensionless,58.3333,3.817367,5.15909
2nd_test,accel_full,dimensionless,58.5,3.331967,5.15909
2nd_test,accel_full,dimensionless,58.6667,2.43923,5.15909
2nd_test,accel_full,dimensionless,58.8333,2.974795,5.15909
2nd_test,accel_full,dimensionless,59.0,2.501804,5.15909
2nd_test,accel_full,dimensionless,59.1667,2.540465,5.15909
2nd_test,accel_full,dimensionless,59.3333,3.762839,5.15909
2nd_test,accel_full,dimensionless,59.5,3.026419,5.15909
2nd_test,accel_full,dimensionless,59.6667,2.878283,5.15909
2nd_test,accel_full,dimensionless,59.8333,4.50208,5.15909
2nd_test,accel_full,dimensionless,60.0,2.906054,5.15909
2nd_test,accel_full,dimensionless,60.1667,2.87757,5.15909
2nd_test,accel_full,dimensionless,60.3333,3.194859,5.15909
2nd_test,accel_full,dimensionless,60.5,2.955151,5.15909
2nd_test,accel_full,dimensionless,60.6667,3.528074,5.15909
2nd_test,accel_full,dimensionless,60.8333,3.799751,5.15909
2nd_test,accel_full,dimensionless,61.0,2.957373,5.15909
2nd_test,accel_full,dimensionless,61.1667,3.358661,5.15909
2nd_test,accel_full,dimensionless,61.3333,4.678705,5.15909
2nd_test,accel_full,dimensionless,61.5,4.487304,5.15909
2nd_test,accel_full,dimensionless,61.6667,2.917707,5.15909
2nd_test,accel_full,dimensionless,61.8333,3.34675,5.15909
2nd_test,accel_full,dimensionless,62.0,3.633304,5.15909
2nd_test,accel_full,dimensionless,62.1667,3.169711,5.15909
2nd_test,accel_full,dimensionless,62.3333,3.915584,5.15909
2nd_test,accel_full,dimensionless,62.5,2.422335,5.15909
2nd_test,accel_full,dimensionless,62.6667,3.374055,5.15909
2nd_test,accel_full,dimensionless,62.8333,2.535904,5.15909
2nd_test,accel_full,dimensionless,63.0,3.17198,5.15909
2nd_test,accel_full,dimensionless,63.1667,3.308277,5.15909
2nd_test,accel_full,dimensionless,63.3333,3.045519,5.15909
2nd_test,accel_full,dimensionless,63.5,4.348168,5.15909
2nd_test,accel_full,dimensionless,63.6667,3.643763,5.15909
2nd_test,accel_full,dimensionless,63.8333,4.724211,5.15909
2nd_test,accel_full,dimensionless,64.0,3.008058,5.15909
2nd_test,accel_full,dimensionless,64.1667,2.346257,5.15909
2nd_test,accel_full,dimensionless,64.3333,4.753984,5.15909
2nd_test,accel_full,dimensionless,64.5,2.056687,5.15909
2nd_test,accel_full,dimensionless,64.6667,3.410446,5.15909
2nd_test,accel_full,dimensionless,64.8333,2.60707,5.15909
2nd_test,accel_full,dimensionless,65.0,4.089745,5.15909
2nd_test,accel_full,dimensionless,65.1667,3.238474,5.15909
2nd_test,accel_full,dimensionless,65.3333,2.771655,5.15909
2nd_test,accel_full,dimensionless,65.5,3.402095,5.15909
2nd_test,accel_full,dimensionless,65.6667,3.3203,5.15909
2nd_test,accel_full,dimensionless,65.8333,2.841931,5.15909
2nd_test,accel_full,dimensionless,66.0,6.476284,5.15909
2nd_test,accel_full,dimensionless,66.1667,2.746314,5.15909
2nd_test,accel_full,dimensionless,66.3333,3.406331,5.15909
2nd_test,accel_full,dimensionless,66.5,2.828806,5.15909
2nd_test,accel_full,dimensionless,66.6667,2.88835,5.15909
2nd_test,accel_full,dimensionless,66.8333,4.174093,5.15909
2nd_test,accel_full,dimensionless,67.0,3.391228,5.15909
2nd_test,accel_full,dimensionless,67.1667,3.030416,5.15909
2nd_test,accel_full,dimensionless,67.3333,3.413946,5.15909
2nd_test,accel_full,dimensionless,67.5,2.891227,5.15909
2nd_test,accel_full,dimensionless,67.6667,3.290655,5.15909
2nd_test,accel_full,dimensionless,67.8333,2.985364,5.15909
2nd_test,accel_full,dimensionless,68.0,3.154143,5.15909
2nd_test,accel_full,dimensionless,68.1667,2.333234,5.15909
2nd_test,accel_full,dimensionless,68.3333,2.420121,5.15909
2nd_test,accel_full,dimensionless,68.5,3.646732,5.15909
2nd_test,accel_full,dimensionless,68.6667,2.935777,5.15909
2nd_test,accel_full,dimensionless,68.8333,3.213128,5.15909
2nd_test,accel_full,dimensionless,69.0,4.548581,5.15909
2nd_test,accel_full,dimensionless,69.1667,3.038373,5.15909
2nd_test,accel_full,dimensionless,69.3333,3.477546,5.15909
2nd_test,accel_full,dimensionless,69.5,3.184479,5.15909
2nd_test,accel_full,dimensionless,69.6667,3.511066,5.15909
2nd_test,accel_full,dimensionless,69.8333,2.658593,5.15909
2nd_test,accel_full,dimensionless,70.0,2.68396,5.15909
2nd_test,accel_full,dimensionless,70.1667,2.060191,5.15909
2nd_test,accel_full,dimensionless,70.3333,2.196365,5.15909
2nd_test,accel_full,dimensionless,70.5,2.221808,5.15909
2nd_test,accel_full,dimensionless,70.6667,2.751697,5.15909
2nd_test,accel_full,dimensionless,70.8333,4.020971,5.15909
2nd_test,accel_full,dimensionless,71.0,2.663093,5.15909
2nd_test,accel_full,dimensionless,71.1667,2.915018,5.15909
2nd_test,accel_full,dimensionless,71.3333,2.143903,5.15909
2nd_test,accel_full,dimensionless,71.5,2.276919,5.15909
2nd_test,accel_full,dimensionless,71.6667,4.037019,5.15909
2nd_test,accel_full,dimensionless,71.8333,2.727839,5.15909
2nd_test,accel_full,dimensionless,72.0,1.838923,5.15909
2nd_test,accel_full,dimensionless,72.1667,2.525163,5.15909
2nd_test,accel_full,dimensionless,72.3333,3.900956,5.15909
2nd_test,accel_full,dimensionless,72.5,4.269119,5.15909
2nd_test,accel_full,dimensionless,72.6667,2.278802,5.15909
2nd_test,accel_full,dimensionless,72.8333,2.301941,5.15909
2nd_test,accel_full,dimensionless,73.0,2.689765,5.15909
2nd_test,accel_full,dimensionless,73.1667,3.946611,5.15909
